"decision_date","company_ID","external_score_ver01","external_score_ver02","external_score_ver03","age","province","juridical_form","industry_sector","gross_margin_ratio","core_income_ratio","cash_asset_ratio","consolidated_liabilities_ratio","revenues","cr_available","region","geo_area","last_statement_age","days_to_default","target"
"2020-10-06",6178307100,7,3,"H",5,"CA","RS","Costruzioni e materiali per costruzioni",0.372340425531915,0.115384615384615,0.235955056179775,0.484042553191489,208,"TRUE","Sardegna","Isole",3,1498,0
"2022-05-12",8474427550,6,1,"C",2,"MI","SR","Trasporti",0.673177083333333,0.0266086115142719,0.192248062015504,0.252604166666667,2073,"TRUE","Lombardia","Nord-ovest",1,1498,0
"2020-12-17",7914332300,7,3,"E",3,"SA","RS","Servizi",1.66666666666667,0.0175438596491228,0.615384615384615,0.277777777777778,57,"FALSE","Campania","Sud",2,1498,0
"2021-04-13",5199648490,7,2,"G",12,"PZ","SU","Editoria e stampa",0.221461187214612,-0.0452898550724638,0.0517241379310345,0.0810502283105023,552,"FALSE","Basilicata","Sud",3,1498,0
"2021-09-23",9700443690,10,2,"H",0,"LC","SR","Servizi",0.464636707194417,0.0125934084914631,0,0.416001808268284,410,"FALSE","Lombardia","Nord-ovest",2,1498,0
"2021-06-16",8991285350,5,2,"F",6,"OR","SU","Servizi",0.0841121495327103,0.0159256801592568,0.153679653679654,0.132710280373832,1507,"TRUE","Sardegna","Isole",2,1498,0
"2022-02-16",5347590470,6,1,"G",14,"PD","SR","Servizi",0.356986421375383,0.0347574221578566,0.216389930369577,0.423127463863338,1752,"TRUE","Veneto","Nord-est",2,1498,0
"2020-10-16",9884199470,6,1,"E",17,"MO","SR","Elettrotecnica ed elettronica",0.361522198731501,0.00757575757575758,0.10709219858156,0.284883720930233,1768,"TRUE","Emilia-Romagna","Nord-est",1,842,1
"2021-04-27",5842471940,6,1,"E",6,"PG","SR","Altri beni di consumo",0.501766784452297,0.0307692307692308,0.323008849557522,0.0848056537102474,208,"TRUE","Umbria","Centro",2,1498,0
"2021-03-30",6378124800,4,2,"F",2,"BO","SR","Costruzioni e materiali per costruzioni",0.335260115606936,0.0664536741214058,0.406976744186047,0.554913294797688,1565,"TRUE","Emilia-Romagna","Nord-est",2,1498,0
"2021-06-14",5152815070,8,2,"D",3,"TV","SR","Servizi",0.0606060606060606,0.021978021978022,0.306451612903226,0.0454545454545455,182,"FALSE","Veneto","Nord-est",2,602,1
"2021-07-05",4087289680,7,2,"I",7,"TO","SR","Costruzioni e materiali per costruzioni",0.255639097744361,0.0197152245345016,0.2109375,0.413533834586466,913,"TRUE","Piemonte","Nord-ovest",2,672,1
"2022-01-27",7609057470,10,2,"D",5,"MI","SR","Servizi",0.464636707194417,0.0125934084914631,0,0.416001808268284,410,"TRUE","Lombardia","Nord-ovest",2,1498,0
"2021-06-14",2416201280,6,3,"E",11,"RM","SR","Costruzioni e materiali per costruzioni",0.325443786982249,0.0460251046025105,0.116788321167883,0.544378698224852,239,"TRUE","Lazio","Centro",2,1498,0
"2021-02-18",2657411030,4,2,"M",11,"BA","SR","Servizi",0.48605577689243,0.0576923076923077,0.0274725274725275,0.422310756972112,988,"TRUE","Puglia","Sud",2,1498,0
"2021-02-17",4725880810,8,2,"L",7,"RM","SR","Distribuzione",0.229961682960403,0.0296371270618898,0,0.370582043783666,946,"TRUE","Lazio","Centro",2,315,1
"2021-10-23",4264155250,5,1,"H",21,"MI","SU","Costruzioni e materiali per costruzioni",0.408955223880597,0.0136570561456753,0.129181084198385,0.419900497512438,1337,"TRUE","Lombardia","Nord-ovest",1,1498,0
"2021-09-14",8750045360,10,3,"A",6,"PA","SC","Servizi",0.464636707194417,0.0125934084914631,0,0.416001808268284,410,"TRUE","Sicilia","Isole",2,324,1
"2022-04-27",3985336170,7,2,"H",2,"TO","SR","Trasporti",0.463576158940397,0.0974576271186441,0.0652173913043478,0.218543046357616,236,"FALSE","Piemonte","Nord-ovest",2,1498,0
"2022-03-18",8160584920,8,1,"F",6,"MI","SR","Metallurgia e prodotti in metallo",0.420785804816223,0.0123456790123457,0.0928030303030303,0.430291508238276,1134,"TRUE","Lombardia","Nord-ovest",2,1498,0
"2021-10-28",1945636200,6,3,"D",3,"RM","RS","Costruzioni e materiali per costruzioni",1.08176100628931,0.00757575757575758,0.130434782608696,0.132075471698113,396,"TRUE","Lazio","Centro",2,1498,0
"2022-01-28",9509487240,7,2,"E",15,"AV","SR","Servizi",0.0161747343565525,0.00220588235294118,0.0118130457113508,0.529752066115702,2959,"TRUE","Campania","Sud",2,1498,0
"2022-01-14",7340697410,8,3,"I",2,"SA","RS","Costruzioni e materiali per costruzioni",1.34814814814815,0.200819672131148,0.411764705882353,0.274074074074074,253,"TRUE","Campania","Sud",2,1498,0
"2020-10-02",3802929740,8,2,"C",5,"VE","SR","Distribuzione",0.510429447852761,0.0277902285970417,0.00175438596491228,0.30920245398773,2231,"TRUE","Veneto","Nord-est",2,1498,0
